employee_id,name,department,role,age,salary,experience_years,joining_date,performance_score,city,monthly_sales,training_hours,attrition_risk
32,Employee 32,Analytics,Data Analyst,23,32384,0,2017-06-28,66,Ahmedabad,20272,48,Medium
33,Employee 33,Support,Software Engineer,34,52321,11,2017-07-15,79,Noida,20593,57,Low
34,Employee 34,Operations,Data Analyst,45,68658,20,2017-08-01,92,Bengaluru,20914,66,Low
35,Employee 35,Finance,Software Engineer,31,48995,9,2017-08-18,60,Chennai,21235,75,Medium
36,Employee 36,Engineering,Data Analyst,42,65332,18,2017-09-04,73,Jaipur,21556,4,Medium
37,Employee 37,Marketing,Software Engineer,28,36669,2,2017-09-21,86,Mumbai,21877,13,Low
38,Employee 38,HR,Data Analyst,39,62006,16,2017-10-08,99,Hyderabad,22198,22,Low
39,Employee 39,Sales,Software Engineer,25,33343,0,2017-10-25,67,Kolkata,22519,31,Medium
40,Employee 40,Analytics,Data Analyst,36,58680,14,2017-11-11,80,Delhi,22840,40,Low
41,Employee 41,Support,Software Engineer,22,33617,0,2017-11-28,93,Pune,23161,49,Low
42,Employee 42,Operations,Data Analyst,33,46354,7,2017-12-15,61,Ahmedabad,23482,58,Medium
43,Employee 43,Finance,Software Engineer,44,71691,21,2018-01-01,74,Noida,23803,67,Medium
44,Employee 44,Engineering,Data Analyst,30,43028,5,2018-01-18,87,Bengaluru,24124,76,Low
45,Employee 45,Marketing,Software Engineer,41,68365,19,2018-02-04,55,Chennai,24445,5,High
46,Employee 46,HR,Data Analyst,27,39702,3,2018-02-21,68,Jaipur,24766,14,Medium
47,Employee 47,Sales,Software Engineer,38,56039,12,2018-03-10,81,Mumbai,25087,23,Low
48,Employee 48,Analytics,Data Analyst,24,36376,1,2018-03-27,94,Hyderabad,25408,32,Low
49,Employee 49,Support,Software Engineer,35,52713,10,2018-04-13,62,Kolkata,25729,41,Medium
50,Employee 50,Operations,Data Analyst,21,34850,0,2018-04-30,75,Delhi,26050,50,Medium
51,Employee 51,Finance,Software Engineer,32,49387,8,2018-05-17,88,Pune,26371,59,Low
52,Employee 52,Engineering,Data Analyst,43,65724,17,2018-06-03,56,Ahmedabad,26692,68,Medium
53,Employee 53,Marketing,Software Engineer,29,46061,6,2018-06-20,69,Noida,27013,77,Medium
54,Employee 54,HR,Data Analyst,40,62398,15,2018-07-07,82,Bengaluru,27334,6,Low
55,Employee 55,Sales,Software Engineer,26,42735,4,2018-07-24,95,Chennai,27655,15,Low
56,Employee 56,Analytics,Data Analyst,37,59072,13,2018-08-10,63,Jaipur,27976,24,Medium
57,Employee 57,Support,Software Engineer,23,35809,0,2018-08-27,76,Mumbai,28297,33,Medium
58,Employee 58,Operations,Data Analyst,34,55746,11,2018-09-13,89,Hyderabad,28618,42,Low
59,Employee 59,Finance,Software Engineer,45,72083,20,2018-09-30,57,Kolkata,28939,51,Medium
60,Employee 60,Engineering,Data Analyst,31,52420,9,2018-10-17,70,Delhi,29260,60,Medium
61,Employee 61,Marketing,Software Engineer,42,68757,18,2018-11-03,83,Pune,29581,69,Low
62,Employee 62,HR,Data Analyst,28,40094,2,2018-11-20,96,Ahmedabad,29902,78,Low
63,Employee 63,Sales,Software Engineer,39,65431,16,2018-12-07,64,Noida,30223,7,High
64,Employee 64,Analytics,Data Analyst,25,36768,0,2018-12-24,77,Bengaluru,30544,16,Medium
65,Employee 65,Support,Software Engineer,36,62105,14,2019-01-10,90,Chennai,30865,25,Low
66,Employee 66,Operations,Data Analyst,22,37042,0,2019-01-27,58,Jaipur,31186,34,Medium
67,Employee 67,Finance,Software Engineer,33,49779,7,2019-02-13,71,Mumbai,31507,43,Medium
68,Employee 68,Engineering,Data Analyst,44,75116,21,2019-03-02,84,Hyderabad,31828,52,Low
69,Employee 69,Marketing,Software Engineer,30,46453,5,2019-03-19,97,Kolkata,32149,61,Low
70,Employee 70,HR,Data Analyst,41,71790,19,2019-04-05,65,Delhi,32470,70,Medium
71,Employee 71,Sales,Software Engineer,27,43127,3,2019-04-22,78,Pune,32791,79,Low
72,Employee 72,Analytics,Data Analyst,38,59464,12,2019-05-09,91,Ahmedabad,33112,8,Low
73,Employee 73,Support,Software Engineer,24,39801,1,2019-05-26,59,Noida,33433,17,High
74,Employee 74,Operations,Data Analyst,35,56138,10,2019-06-12,72,Bengaluru,33754,26,Medium
75,Employee 75,Finance,Software Engineer,21,38275,0,2019-06-29,85,Chennai,34075,35,Low
76,Employee 76,Engineering,Data Analyst,32,52812,8,2019-07-16,98,Jaipur,34396,44,Low
77,Employee 77,Marketing,Software Engineer,43,69149,17,2019-08-02,66,Mumbai,34717,53,Medium
78,Employee 78,HR,Data Analyst,29,49486,6,2019-08-19,79,Hyderabad,35038,62,Low
79,Employee 79,Sales,Software Engineer,40,65823,15,2019-09-05,92,Kolkata,35359,71,Low
80,Employee 80,Analytics,Data Analyst,26,46160,4,2019-09-22,60,Delhi,35680,0,High
81,Employee 81,Support,Software Engineer,37,62497,13,2019-10-09,73,Pune,36001,9,Medium
82,Employee 82,Operations,Data Analyst,23,39234,0,2019-10-26,86,Ahmedabad,36322,18,Low
83,Employee 83,Finance,Software Engineer,34,59171,11,2019-11-12,99,Noida,36643,27,Low
84,Employee 84,Engineering,Data Analyst,45,75508,20,2019-11-29,67,Bengaluru,36964,36,Medium
85,Employee 85,Marketing,Software Engineer,31,55845,9,2019-12-16,80,Chennai,37285,45,Low
86,Employee 86,HR,Data Analyst,42,72182,18,2020-01-02,93,Jaipur,37606,54,Low
87,Employee 87,Sales,Software Engineer,28,43519,2,2020-01-19,61,Mumbai,37927,63,Medium
88,Employee 88,Analytics,Data Analyst,39,68856,16,2020-02-05,74,Hyderabad,38248,72,Medium
89,Employee 89,Support,Software Engineer,25,40193,0,2020-02-22,87,Kolkata,38569,1,Low
90,Employee 90,Operations,Data Analyst,36,65530,14,2020-03-10,55,Delhi,38890,10,High
91,Employee 91,Finance,Software Engineer,22,40467,0,2020-03-27,68,Pune,39211,19,Medium
92,Employee 92,Engineering,Data Analyst,33,53204,7,2020-04-13,81,Ahmedabad,39532,28,Low
93,Employee 93,Marketing,Software Engineer,44,78541,21,2020-04-30,94,Noida,39853,37,Low
94,Employee 94,HR,Data Analyst,30,49878,5,2020-05-17,62,Bengaluru,40174,46,Medium
95,Employee 95,Sales,Software Engineer,41,75215,19,2020-06-03,75,Chennai,40495,55,Medium
96,Employee 96,Analytics,Data Analyst,27,46552,3,2020-06-20,88,Jaipur,40816,64,Low
97,Employee 97,Support,Software Engineer,38,62889,12,2020-07-07,56,Mumbai,41137,73,Medium
98,Employee 98,Operations,Data Analyst,24,43226,1,2020-07-24,69,Hyderabad,41458,2,Medium
99,Employee 99,Finance,Software Engineer,35,59563,10,2020-08-10,82,Kolkata,41779,11,Low
100,Employee 100,Engineering,Data Analyst,21,41700,0,2020-08-27,95,Delhi,42100,20,Low
101,Employee 101,Marketing,Software Engineer,32,56237,8,2020-09-13,63,Pune,42421,29,Medium
102,Employee 102,HR,Data Analyst,43,72574,17,2020-09-30,76,Ahmedabad,42742,38,Medium
103,Employee 103,Sales,Software Engineer,29,52911,6,2020-10-17,89,Noida,43063,47,Low
104,Employee 104,Analytics,Data Analyst,40,69248,15,2020-11-03,57,Bengaluru,43384,56,Medium
105,Employee 105,Support,Software Engineer,26,49585,4,2020-11-20,70,Chennai,43705,65,Medium
106,Employee 106,Operations,Data Analyst,37,65922,13,2020-12-07,83,Jaipur,44026,74,Low
107,Employee 107,Finance,Software Engineer,23,42659,0,2020-12-24,96,Mumbai,44347,3,Low
108,Employee 108,Engineering,Data Analyst,34,62596,11,2021-01-10,64,Hyderabad,44668,12,High
109,Employee 109,Marketing,Software Engineer,45,78933,20,2021-01-27,77,Kolkata,44989,21,Medium
110,Employee 110,HR,Data Analyst,31,59270,9,2021-02-13,90,Delhi,45310,30,Low
111,Employee 111,Sales,Software Engineer,42,75607,18,2021-03-02,58,Pune,45631,39,Medium
112,Employee 112,Analytics,Data Analyst,28,46944,2,2021-03-19,71,Ahmedabad,45952,48,Medium
113,Employee 113,Support,Software Engineer,39,72281,16,2021-04-05,84,Noida,46273,57,Low
114,Employee 114,Operations,Data Analyst,25,43618,0,2021-04-22,97,Bengaluru,46594,66,Low
115,Employee 115,Finance,Software Engineer,36,68955,14,2021-05-09,65,Chennai,46915,75,Medium
116,Employee 116,Engineering,Data Analyst,22,43892,0,2021-05-26,78,Jaipur,47236,4,Low
117,Employee 117,Marketing,Software Engineer,33,56629,7,2021-06-12,91,Mumbai,47557,13,Low
118,Employee 118,HR,Data Analyst,44,81966,21,2021-06-29,59,Hyderabad,47878,22,Medium
119,Employee 119,Sales,Software Engineer,30,53303,5,2021-07-16,72,Kolkata,48199,31,Medium
120,Employee 120,Analytics,Data Analyst,41,78640,19,2021-08-02,85,Delhi,48520,40,Low
121,Employee 121,Support,Software Engineer,27,49977,3,2021-08-19,98,Pune,48841,49,Low
122,Employee 122,Operations,Data Analyst,38,66314,12,2021-09-05,66,Ahmedabad,49162,58,Medium
123,Employee 123,Finance,Software Engineer,24,46651,1,2021-09-22,79,Noida,49483,67,Low
124,Employee 124,Engineering,Data Analyst,35,62988,10,2021-10-09,92,Bengaluru,49804,76,Low
125,Employee 125,Marketing,Software Engineer,21,45125,0,2021-10-26,60,Chennai,50125,5,High
126,Employee 126,HR,Data Analyst,32,59662,8,2021-11-12,73,Jaipur,50446,14,Medium
127,Employee 127,Sales,Software Engineer,43,75999,17,2021-11-29,86,Mumbai,50767,23,Low
128,Employee 128,Analytics,Data Analyst,29,56336,6,2021-12-16,99,Hyderabad,51088,32,Low
129,Employee 129,Support,Software Engineer,40,72673,15,2022-01-02,67,Kolkata,51409,41,Medium
130,Employee 130,Operations,Data Analyst,26,53010,4,2022-01-19,80,Delhi,51730,50,Low
131,Employee 131,Finance,Software Engineer,37,69347,13,2022-02-05,93,Pune,52051,59,Low
132,Employee 132,Engineering,Data Analyst,23,46084,0,2022-02-22,61,Ahmedabad,52372,68,Medium
133,Employee 133,Marketing,Software Engineer,34,66021,11,2022-03-11,74,Noida,52693,77,Medium
134,Employee 134,HR,Data Analyst,45,82358,20,2022-03-28,87,Bengaluru,53014,6,Low
135,Employee 135,Sales,Software Engineer,31,62695,9,2022-04-14,55,Chennai,53335,15,High
136,Employee 136,Analytics,Data Analyst,42,79032,18,2022-05-01,68,Jaipur,53656,24,Medium
137,Employee 137,Support,Software Engineer,28,50369,2,2022-05-18,81,Mumbai,53977,33,Low
138,Employee 138,Operations,Data Analyst,39,75706,16,2022-06-04,94,Hyderabad,54298,42,Low
139,Employee 139,Finance,Software Engineer,25,47043,0,2022-06-21,62,Kolkata,54619,51,Medium
140,Employee 140,Engineering,Data Analyst,36,72380,14,2022-07-08,75,Delhi,54940,60,Medium
141,Employee 141,Marketing,Software Engineer,22,47317,0,2022-07-25,88,Pune,55261,69,Low
142,Employee 142,HR,Data Analyst,33,60054,7,2022-08-11,56,Ahmedabad,55582,78,Medium
143,Employee 143,Sales,Software Engineer,44,85391,21,2022-08-28,69,Noida,55903,7,Medium
144,Employee 144,Analytics,Data Analyst,30,56728,5,2022-09-14,82,Bengaluru,56224,16,Low
145,Employee 145,Support,Software Engineer,41,82065,19,2022-10-01,95,Chennai,56545,25,Low
146,Employee 146,Operations,Data Analyst,27,53402,3,2022-10-18,63,Jaipur,56866,34,Medium
147,Employee 147,Finance,Software Engineer,38,69739,12,2022-11-04,76,Mumbai,57187,43,Medium
148,Employee 148,Engineering,Data Analyst,24,50076,1,2022-11-21,89,Hyderabad,57508,52,Low
149,Employee 149,Marketing,Software Engineer,35,66413,10,2022-12-08,57,Kolkata,57829,61,Medium
150,Employee 150,HR,Data Analyst,21,48550,0,2022-12-25,70,Delhi,58150,70,Medium
151,Employee 151,Sales,Software Engineer,32,63087,8,2023-01-11,83,Pune,58471,79,Low
152,Employee 152,Analytics,Data Analyst,43,79424,17,2023-01-28,96,Ahmedabad,58792,8,Low
153,Employee 153,Support,Software Engineer,29,59761,6,2023-02-14,64,Noida,59113,17,High
154,Employee 154,Operations,Data Analyst,40,76098,15,2023-03-03,77,Bengaluru,59434,26,Medium
155,Employee 155,Finance,Software Engineer,26,56435,4,2023-03-20,90,Chennai,59755,35,Low
156,Employee 156,Engineering,Data Analyst,37,72772,13,2023-04-06,58,Jaipur,60076,44,Medium
157,Employee 157,Marketing,Software Engineer,23,49509,0,2023-04-23,71,Mumbai,60397,53,Medium
158,Employee 158,HR,Data Analyst,34,69446,11,2023-05-10,84,Hyderabad,60718,62,Low
159,Employee 159,Sales,Software Engineer,45,85783,20,2023-05-27,97,Kolkata,61039,71,Low
160,Employee 160,Analytics,Data Analyst,31,66120,9,2023-06-13,65,Delhi,61360,0,Medium
161,Employee 161,Support,Software Engineer,42,82457,18,2023-06-30,78,Pune,61681,9,Low
162,Employee 162,Operations,Data Analyst,28,53794,2,2023-07-17,91,Ahmedabad,62002,18,Low
163,Employee 163,Finance,Software Engineer,39,79131,16,2023-08-03,59,Noida,62323,27,Medium
164,Employee 164,Engineering,Data Analyst,25,50468,0,2023-08-20,72,Bengaluru,62644,36,Medium
165,Employee 165,Marketing,Software Engineer,36,75805,14,2023-09-06,85,Chennai,62965,45,Low
166,Employee 166,HR,Data Analyst,22,50742,0,2023-09-23,98,Jaipur,63286,54,Low
167,Employee 167,Sales,Software Engineer,33,63479,7,2023-10-10,66,Mumbai,63607,63,Medium
168,Employee 168,Analytics,Data Analyst,44,88816,21,2023-10-27,79,Hyderabad,63928,72,Low
169,Employee 169,Support,Software Engineer,30,60153,5,2023-11-13,92,Kolkata,64249,1,Low
170,Employee 170,Operations,Data Analyst,41,85490,19,2023-11-30,60,Delhi,64570,10,High
171,Employee 171,Finance,Software Engineer,27,56827,3,2023-12-17,73,Pune,64891,19,Medium
172,Employee 172,Engineering,Data Analyst,38,73164,12,2024-01-03,86,Ahmedabad,65212,28,Low
173,Employee 173,Marketing,Software Engineer,24,53501,1,2024-01-20,99,Noida,65533,37,Low
174,Employee 174,HR,Data Analyst,35,69838,10,2024-02-06,67,Bengaluru,65854,46,Medium
175,Employee 175,Sales,Software Engineer,21,51975,0,2024-02-23,80,Chennai,66175,55,Low
176,Employee 176,Analytics,Data Analyst,32,66512,8,2024-03-11,93,Jaipur,66496,64,Low
177,Employee 177,Support,Software Engineer,43,82849,17,2024-03-28,61,Mumbai,66817,73,Medium
178,Employee 178,Operations,Data Analyst,29,63186,6,2024-04-14,74,Hyderabad,67138,2,Medium
179,Employee 179,Finance,Software Engineer,40,79523,15,2024-05-01,87,Kolkata,67459,11,Low
180,Employee 180,Engineering,Data Analyst,26,59860,4,2024-05-18,55,Delhi,67780,20,Medium
181,Employee 181,Marketing,Software Engineer,37,76197,13,2024-06-04,68,Pune,68101,29,Medium
182,Employee 182,HR,Data Analyst,23,52934,0,2024-06-21,81,Ahmedabad,68422,38,Low
183,Employee 183,Sales,Software Engineer,34,72871,11,2024-07-08,94,Noida,68743,47,Low
184,Employee 184,Analytics,Data Analyst,45,89208,20,2024-07-25,62,Bengaluru,69064,56,Medium
185,Employee 185,Support,Software Engineer,31,69545,9,2024-08-11,75,Chennai,69385,65,Medium
186,Employee 186,Operations,Data Analyst,42,85882,18,2024-08-28,88,Jaipur,69706,74,Low
187,Employee 187,Finance,Software Engineer,28,57219,2,2024-09-14,56,Mumbai,70027,3,High
188,Employee 188,Engineering,Data Analyst,39,82556,16,2024-10-01,69,Hyderabad,70348,12,Medium
189,Employee 189,Marketing,Software Engineer,25,53893,0,2016-01-14,82,Kolkata,70669,21,Low
190,Employee 190,HR,Data Analyst,36,79230,14,2016-01-31,95,Delhi,70990,30,Low
191,Employee 191,Sales,Software Engineer,22,54167,0,2016-02-17,63,Pune,71311,39,Medium
192,Employee 192,Analytics,Data Analyst,33,66904,7,2016-03-05,76,Ahmedabad,71632,48,Medium
193,Employee 193,Support,Software Engineer,44,92241,21,2016-03-22,89,Noida,71953,57,Low
194,Employee 194,Operations,Data Analyst,30,63578,5,2016-04-08,57,Bengaluru,72274,66,Medium
195,Employee 195,Finance,Software Engineer,41,88915,19,2016-04-25,70,Chennai,72595,75,Medium
196,Employee 196,Engineering,Data Analyst,27,60252,3,2016-05-12,83,Jaipur,72916,4,Low
197,Employee 197,Marketing,Software Engineer,38,76589,12,2016-05-29,96,Mumbai,73237,13,Low
198,Employee 198,HR,Data Analyst,24,56926,1,2016-06-15,64,Hyderabad,73558,22,Medium
199,Employee 199,Sales,Software Engineer,35,73263,10,2016-07-02,77,Kolkata,73879,31,Medium
200,Employee 200,Analytics,Data Analyst,21,55400,0,2016-07-19,90,Delhi,74200,40,Low
201,Employee 201,Support,Software Engineer,32,69937,8,2016-08-05,58,Pune,74521,49,Medium
202,Employee 202,Operations,Data Analyst,43,86274,17,2016-08-22,71,Ahmedabad,74842,58,Medium
203,Employee 203,Finance,Software Engineer,29,66611,6,2016-09-08,84,Noida,75163,67,Low
204,Employee 204,Engineering,Data Analyst,40,82948,15,2016-09-25,97,Bengaluru,75484,76,Low
205,Employee 205,Marketing,Software Engineer,26,63285,4,2016-10-12,65,Chennai,75805,5,Medium
206,Employee 206,HR,Data Analyst,37,79622,13,2016-10-29,78,Jaipur,76126,14,Low
207,Employee 207,Sales,Software Engineer,23,56359,0,2016-11-15,91,Mumbai,76447,23,Low
208,Employee 208,Analytics,Data Analyst,34,76296,11,2016-12-02,59,Hyderabad,76768,32,Medium
209,Employee 209,Support,Software Engineer,45,92633,20,2016-12-19,72,Kolkata,77089,41,Medium
210,Employee 210,Operations,Data Analyst,31,72970,9,2017-01-05,85,Delhi,77410,50,Low
211,Employee 211,Finance,Software Engineer,42,89307,18,2017-01-22,98,Pune,77731,59,Low
212,Employee 212,Engineering,Data Analyst,28,60644,2,2017-02-08,66,Ahmedabad,78052,68,Medium
213,Employee 213,Marketing,Software Engineer,39,85981,16,2017-02-25,79,Noida,78373,77,Low
214,Employee 214,HR,Data Analyst,25,57318,0,2017-03-14,92,Bengaluru,78694,6,Low
215,Employee 215,Sales,Software Engineer,36,82655,14,2017-03-31,60,Chennai,79015,15,High
216,Employee 216,Analytics,Data Analyst,22,57592,0,2017-04-17,73,Jaipur,79336,24,Medium
217,Employee 217,Support,Software Engineer,33,70329,7,2017-05-04,86,Mumbai,79657,33,Low
218,Employee 218,Operations,Data Analyst,44,95666,21,2017-05-21,99,Hyderabad,79978,42,Low
219,Employee 219,Finance,Software Engineer,30,67003,5,2017-06-07,67,Kolkata,80299,51,Medium
220,Employee 220,Engineering,Data Analyst,41,92340,19,2017-06-24,80,Delhi,80620,60,Low
221,Employee 221,Marketing,Software Engineer,27,63677,3,2017-07-11,93,Pune,80941,69,Low
222,Employee 222,HR,Data Analyst,38,80014,12,2017-07-28,61,Ahmedabad,81262,78,Medium
223,Employee 223,Sales,Software Engineer,24,60351,1,2017-08-14,74,Noida,81583,7,Medium
224,Employee 224,Analytics,Data Analyst,35,76688,10,2017-08-31,87,Bengaluru,81904,16,Low
225,Employee 225,Support,Software Engineer,21,58825,0,2017-09-17,55,Chennai,82225,25,Medium
226,Employee 226,Operations,Data Analyst,32,73362,8,2017-10-04,68,Jaipur,82546,34,Medium
227,Employee 227,Finance,Software Engineer,43,89699,17,2017-10-21,81,Mumbai,82867,43,Low
228,Employee 228,Engineering,Data Analyst,29,70036,6,2017-11-07,94,Hyderabad,83188,52,Low
229,Employee 229,Marketing,Software Engineer,40,86373,15,2017-11-24,62,Kolkata,83509,61,Medium
230,Employee 230,HR,Data Analyst,26,66710,4,2017-12-11,75,Delhi,83830,70,Medium
231,Employee 231,Sales,Software Engineer,37,83047,13,2017-12-28,88,Pune,84151,79,Low
232,Employee 232,Analytics,Data Analyst,23,59784,0,2018-01-14,56,Ahmedabad,84472,8,High
233,Employee 233,Support,Software Engineer,34,79721,11,2018-01-31,69,Noida,84793,17,Medium
234,Employee 234,Operations,Data Analyst,45,96058,20,2018-02-17,82,Bengaluru,85114,26,Low
235,Employee 235,Finance,Software Engineer,31,76395,9,2018-03-06,95,Chennai,85435,35,Low
236,Employee 236,Engineering,Data Analyst,42,92732,18,2018-03-23,63,Jaipur,85756,44,Medium
237,Employee 237,Marketing,Software Engineer,28,64069,2,2018-04-09,76,Mumbai,86077,53,Medium
238,Employee 238,HR,Data Analyst,39,89406,16,2018-04-26,89,Hyderabad,86398,62,Low
239,Employee 239,Sales,Software Engineer,25,60743,0,2018-05-13,57,Kolkata,86719,71,Medium
240,Employee 240,Analytics,Data Analyst,36,86080,14,2018-05-30,70,Delhi,87040,0,Medium
241,Employee 241,Support,Software Engineer,22,61017,0,2018-06-16,83,Pune,87361,9,Low
242,Employee 242,Operations,Data Analyst,33,73754,7,2018-07-03,96,Ahmedabad,87682,18,Low
243,Employee 243,Finance,Software Engineer,44,99091,21,2018-07-20,64,Noida,88003,27,Medium
244,Employee 244,Engineering,Data Analyst,30,70428,5,2018-08-06,77,Bengaluru,88324,36,Medium
245,Employee 245,Marketing,Software Engineer,41,95765,19,2018-08-23,90,Chennai,88645,45,Low
246,Employee 246,HR,Data Analyst,27,67102,3,2018-09-09,58,Jaipur,88966,54,Medium
247,Employee 247,Sales,Software Engineer,38,83439,12,2018-09-26,71,Mumbai,89287,63,Medium
248,Employee 248,Analytics,Data Analyst,24,63776,1,2018-10-13,84,Hyderabad,89608,72,Low
249,Employee 249,Support,Software Engineer,35,80113,10,2018-10-30,97,Kolkata,89929,1,Low
250,Employee 250,Operations,Data Analyst,21,62250,0,2018-11-16,65,Delhi,90250,10,Medium
251,Employee 251,Finance,Software Engineer,32,76787,8,2018-12-03,78,Pune,90571,19,Low
252,Employee 252,Engineering,Data Analyst,43,93124,17,2018-12-20,91,Ahmedabad,90892,28,Low
253,Employee 253,Marketing,Software Engineer,29,73461,6,2019-01-06,59,Noida,91213,37,Medium
254,Employee 254,HR,Data Analyst,40,89798,15,2019-01-23,72,Bengaluru,91534,46,Medium
255,Employee 255,Sales,Software Engineer,26,70135,4,2019-02-09,85,Chennai,91855,55,Low
256,Employee 256,Analytics,Data Analyst,37,86472,13,2019-02-26,98,Jaipur,92176,64,Low
257,Employee 257,Support,Software Engineer,23,63209,0,2019-03-15,66,Mumbai,92497,73,Medium
258,Employee 258,Operations,Data Analyst,34,83146,11,2019-04-01,79,Hyderabad,92818,2,Low
259,Employee 259,Finance,Software Engineer,45,99483,20,2019-04-18,92,Kolkata,93139,11,Low
260,Employee 260,Engineering,Data Analyst,31,79820,9,2019-05-05,60,Delhi,93460,20,Medium
261,Employee 261,Marketing,Software Engineer,42,96157,18,2019-05-22,73,Pune,93781,29,Medium
262,Employee 262,HR,Data Analyst,28,67494,2,2019-06-08,86,Ahmedabad,94102,38,Low
263,Employee 263,Sales,Software Engineer,39,92831,16,2019-06-25,99,Noida,94423,47,Low
264,Employee 264,Analytics,Data Analyst,25,64168,0,2019-07-12,67,Bengaluru,94744,56,Medium
265,Employee 265,Support,Software Engineer,36,89505,14,2019-07-29,80,Chennai,95065,65,Low
266,Employee 266,Operations,Data Analyst,22,64442,0,2019-08-15,93,Jaipur,95386,74,Low
267,Employee 267,Finance,Software Engineer,33,77179,7,2019-09-01,61,Mumbai,95707,3,High
268,Employee 268,Engineering,Data Analyst,44,102516,21,2019-09-18,74,Hyderabad,96028,12,Medium
269,Employee 269,Marketing,Software Engineer,30,73853,5,2019-10-05,87,Kolkata,96349,21,Low
270,Employee 270,HR,Data Analyst,41,99190,19,2019-10-22,55,Delhi,96670,30,Medium
271,Employee 271,Sales,Software Engineer,27,70527,3,2019-11-08,68,Pune,96991,39,Medium
272,Employee 272,Analytics,Data Analyst,38,86864,12,2019-11-25,81,Ahmedabad,97312,48,Low
273,Employee 273,Support,Software Engineer,24,67201,1,2019-12-12,94,Noida,97633,57,Low
274,Employee 274,Operations,Data Analyst,35,83538,10,2019-12-29,62,Bengaluru,97954,66,Medium
275,Employee 275,Finance,Software Engineer,21,65675,0,2020-01-15,75,Chennai,98275,75,Medium
276,Employee 276,Engineering,Data Analyst,32,80212,8,2020-02-01,88,Jaipur,98596,4,Low
277,Employee 277,Marketing,Software Engineer,43,96549,17,2020-02-18,56,Mumbai,98917,13,High
278,Employee 278,HR,Data Analyst,29,76886,6,2020-03-06,69,Hyderabad,99238,22,Medium
279,Employee 279,Sales,Software Engineer,40,93223,15,2020-03-23,82,Kolkata,99559,31,Low
280,Employee 280,Analytics,Data Analyst,26,73560,4,2020-04-09,95,Delhi,99880,40,Low
281,Employee 281,Support,Software Engineer,37,89897,13,2020-04-26,63,Pune,100201,49,Medium
